53,3,3.85e-05,0.1351,0.8658,0.9281,0.2107,0.8326,0.9086
54,3,3.75e-05,0.1350,0.8657,0.9280,0.2660,0.8345,0.9098
55,3,3.65e-05,0.1388,0.8662,0.9283,0.2441,0.8294,0.9068
56,3,3.55e-05,0.1356,0.8663,0.9284,0.2616,0.8322,0.9084
57,3,3.44e-05,0.1311,0.8670,0.9288,0.2232,0.8327,0.9087
58,3,3.34e-05,0.1312,0.8679,0.9293,0.2616,0.8307,0.9075
59,3,3.23e-05,0.1318,0.8684,0.9296,0.2327,0.8285,0.9062
60,3,3.12e-05,0.1345,0.8690,0.9299,0.2195,0.8300,0.9071
61,3,3.01e-05,0.1265,0.8700,0.9305,0.2712,0.8328,0.9088
62,3,2.90e-05,0.1277,0.8700,0.9305,0.2702,0.8378,0.9117
63,3,2.78e-05,0.1287,0.8703,0.9307,0.2292,0.8384,0.9121
64,3,2.67e-05,0.1261,0.8713,0.9312,0.2566,0.8392,0.9126
65,3,2.56e-05,0.1277,0.8715,0.9313,0.2420,0.8346,0.9098
66,3,2.44e-05,0.1260,0.8712,0.9312,0.2220,0.8363,0.9109
67,3,2.33e-05,0.1320,0.8725,0.9319,0.2130,0.8367,0.9111
68,3,2.22e-05,0.1304,0.8732,0.9323,0.2198,0.8366,0.9110
69,3,2.10e-05,0.1185,0.8736,0.9326,0.2252,0.8357,0.9105
70,3,1.99e-05,0.1214,0.8732,0.9323,0.2121,0.8380,0.9118
71,3,1.88e-05,0.1256,0.8739,0.9327,0.2154,0.8374,0.9115
72,3,1.77e-05,0.1185,0.8742,0.9329,0.2222,0.8387,0.9123
73,3,1.66e-05,0.1240,0.8746,0.9331,0.2368,0.8376,0.9116
74,3,1.56e-05,0.1228,0.8752,0.9335,0.2233,0.8372,0.9114
75,3,1.45e-05,0.1248,0.8754,0.9336,0.2246,0.8367,0.9111
76,3,1.35e-05,0.1206,0.8758,0.9338,0.2248,0.8371,0.9113
77,3,1.25e-05,0.1180,0.8751,0.9334,0.2322,0.8391,0.9125
78,3,1.15e-05,0.1253,0.8758,0.9338,0.2420,0.8373,0.9115
79,3,1.06e-05,0.1180,0.8764,0.9341,0.2072,0.8389,0.9124
80,3,9.67e-06,0.1195,0.8770,0.9344,0.2148,0.8382,0.9120
81,3,8.79e-06,0.1168,0.8772,0.9346,0.2392,0.8385,0.9122
82,3,7.94e-06,0.1188,0.8775,0.9348,0.2279,0.8376,0.9116
83,3,7.12e-06,0.1176,0.8775,0.9347,0.2596,0.8371,0.9113
84,3,6.35e-06,0.1132,0.8777,0.9349,0.2342,0.8374,0.9115
85,3,5.61e-06,0.1154,0.8778,0.9349,0.2206,0.8374,0.9115
86,3,4.91e-06,0.1193,0.8777,0.9349,0.2311,0.8391,0.9125
87,3,4.25e-06,0.1137,0.8786,0.9354,0.2435,0.8376,0.9116
88,3,3.64e-06,0.1169,0.8785,0.9353,0.2110,0.8379,0.9118
89,3,3.07e-06,0.1139,0.8785,0.9353,0.2220,0.8378,0.9117
90,3,2.55e-06,0.1123,0.8785,0.9353,0.2335,0.8380,0.9118
91,3,2.07e-06,0.1171,0.8788,0.9355,0.2503,0.8375,0.9116
92,3,1.64e-06,0.1138,0.8788,0.9355,0.2200,0.8378,0.9118
93,3,1.26e-06,0.1154,0.8791,0.9357,0.2301,0.8381,0.9119
94,3,9.27e-07,0.1172,0.8785,0.9353,0.2262,0.8377,0.9117
